???	нсв_есть	есть¹
???	нсв_b/c_клясть	клясть
1	нсв_1a	подшивать
1	нсв_1a	доплясывать
1	нсв_1a	раскорчёвывать
1	нсв_1a	ошельмовывать
1	нсв_1a	обдернять
1	нсв_1a	закатывать¹
1	нсв_1a	присаживать
1	нсв_1a	отслеживать
1	нсв_1a	прокрахмаливать
1	нсв_1a	прообразовывать
1	нсв_1a	обессахаривать
1	нсв_1a	заваривать
1	нсв_1a	загрызать
1	нсв_1a	обрубать
1	нсв_1a	высачивать
1	нсв_1a	пичкать
1	нсв_1a	болтать
1	нсв_1a	превращать
1	нсв_1a	переассигновывать
1	нсв_1a	умещать
1	нсв_1a	вколачивать
1	нсв_1a	распланировывать
1	нсв_1a	заклинать
1	нсв_1a	отпрукивать
1	нсв_1a	докуривать
1	нсв_1a	подтёсывать
1	нсв_1a	платать
1	нсв_1a	лапать
1	нсв_1a	перестёгивать²
1	нсв_1a	пережёвывать
1	нсв_1a	заявлять
1	нсв_1a	подначивать
1	нсв_1a	выпугивать
1	нсв_1a	вычёркивать
1	нсв_1a	измасливать
1	нсв_1a	расцвечивать
1	нсв_1a	приканчивать
1	нсв_1a	оболванивать
1	нсв_1a	превозмогать
1	нсв_1a	окунать
